weathername,lgt_condname,hour,day_weekname,Total_Accidents,Total_Fatalities,Fatality_Rate
"Blowing Sand, Soil, Dirt",Dark - Lighted,0,Thursday,1,1,1.0
"Blowing Sand, Soil, Dirt",Dark - Lighted,3,Tuesday,1,1,1.0
"Blowing Sand, Soil, Dirt",Dark - Lighted,6,Friday,1,1,1.0
"Blowing Sand, Soil, Dirt",Dark - Lighted,20,Thursday,1,1,1.0
"Blowing Sand, Soil, Dirt",Dark - Lighted,21,Monday,1,1,1.0
"Blowing Sand, Soil, Dirt",Dark - Lighted,21,Tuesday,1,1,1.0
"Blowing Sand, Soil, Dirt",Dark - Not Lighted,1,Sunday,1,1,1.0
"Blowing Sand, Soil, Dirt",Dark - Not Lighted,2,Saturday,1,1,1.0
"Blowing Sand, Soil, Dirt",Dark - Not Lighted,3,Friday,2,2,1.0
"Blowing Sand, Soil, Dirt",Dark - Not Lighted,5,Thursday,1,1,1.0
"Blowing Sand, Soil, Dirt",Dark - Not Lighted,5,Tuesday,1,1,1.0
"Blowing Sand, Soil, Dirt",Dark - Not Lighted,17,Monday,1,1,1.0
"Blowing Sand, Soil, Dirt",Dark - Not Lighted,18,Friday,1,1,1.0
"Blowing Sand, Soil, Dirt",Dark - Not Lighted,18,Tuesday,2,3,1.5
"Blowing Sand, Soil, Dirt",Dark - Not Lighted,18,Wednesday,1,1,1.0
"Blowing Sand, Soil, Dirt",Dark - Not Lighted,19,Friday,1,1,1.0
"Blowing Sand, Soil, Dirt",Dark - Not Lighted,19,Saturday,1,1,1.0
"Blowing Sand, Soil, Dirt",Dark - Not Lighted,20,Sunday,1,1,1.0
"Blowing Sand, Soil, Dirt",Dark - Not Lighted,21,Sunday,1,1,1.0
"Blowing Sand, Soil, Dirt",Dark - Not Lighted,22,Tuesday,1,1,1.0
"Blowing Sand, Soil, Dirt",Dark - Not Lighted,23,Tuesday,1,2,2.0
"Blowing Sand, Soil, Dirt",Dark - Unknown Lighting,1,Friday,1,1,1.0
"Blowing Sand, Soil, Dirt",Dark - Unknown Lighting,22,Friday,1,1,1.0
"Blowing Sand, Soil, Dirt",Dawn,5,Thursday,1,1,1.0
"Blowing Sand, Soil, Dirt",Dawn,8,Saturday,1,1,1.0
"Blowing Sand, Soil, Dirt",Daylight,7,Friday,1,1,1.0
"Blowing Sand, Soil, Dirt",Daylight,7,Wednesday,1,1,1.0
"Blowing Sand, Soil, Dirt",Daylight,9,Friday,2,2,1.0
"Blowing Sand, Soil, Dirt",Daylight,9,Saturday,2,4,2.0
"Blowing Sand, Soil, Dirt",Daylight,9,Thursday,1,3,3.0
"Blowing Sand, Soil, Dirt",Daylight,10,Friday,1,1,1.0
"Blowing Sand, Soil, Dirt",Daylight,10,Monday,6,9,1.5
"Blowing Sand, Soil, Dirt",Daylight,10,Tuesday,1,1,1.0
"Blowing Sand, Soil, Dirt",Daylight,11,Monday,1,1,1.0
"Blowing Sand, Soil, Dirt",Daylight,11,Saturday,3,3,1.0
"Blowing Sand, Soil, Dirt",Daylight,11,Thursday,1,1,1.0
"Blowing Sand, Soil, Dirt",Daylight,11,Tuesday,1,1,1.0
"Blowing Sand, Soil, Dirt",Daylight,12,Saturday,1,1,1.0
"Blowing Sand, Soil, Dirt",Daylight,12,Sunday,2,2,1.0
"Blowing Sand, Soil, Dirt",Daylight,12,Thursday,2,3,1.5
"Blowing Sand, Soil, Dirt",Daylight,12,Tuesday,1,1,1.0
"Blowing Sand, Soil, Dirt",Daylight,12,Wednesday,3,4,1.3333333333333333
"Blowing Sand, Soil, Dirt",Daylight,13,Sunday,1,1,1.0
"Blowing Sand, Soil, Dirt",Daylight,13,Tuesday,2,2,1.0
"Blowing Sand, Soil, Dirt",Daylight,14,Monday,2,2,1.0
"Blowing Sand, Soil, Dirt",Daylight,14,Saturday,1,1,1.0
