lat_grid,lon_grid,Total_Accidents,Total_Fatalities,Sample_State,Sample_City,Sample_County
15.0,-160.0,180,195,Hawaii,KAILUA KONA,HAWAII (1)
15.0,-155.0,20,20,Hawaii,PAHOA,HAWAII (1)
15.0,-70.0,1108,1150,Puerto Rico,SAN JUAN,SAN JUAN (127)
20.0,-160.0,675,717,Hawaii,HONOLULU,HONOLULU (3)
20.0,-85.0,121,132,Florida,NOT APPLICABLE,MONROE (87)
25.0,-105.0,132,162,Texas,NOT APPLICABLE,MAVERICK (323)
25.0,-100.0,9897,10870,Texas,NOT APPLICABLE,HARRIS (201)
25.0,-95.0,1694,1848,Louisiana,NOT APPLICABLE,ORLEANS (71)
25.0,-90.0,91,102,Louisiana,NOT APPLICABLE,ST. BERNARD (87)
25.0,-85.0,22808,24520,Florida,NOT APPLICABLE,MIAMI-DADE (86)
30.0,-125.0,178,200,California,NOT APPLICABLE,SANTA BARBARA (83)
30.0,-120.0,16690,17890,California,NOT APPLICABLE,LOS ANGELES (37)
30.0,-115.0,7446,8100,Arizona,PHOENIX,MARICOPA (13)
30.0,-110.0,1761,1955,New Mexico,NOT APPLICABLE,EL PASO (141)
30.0,-105.0,3254,3737,Texas,NOT APPLICABLE,LUBBOCK (303)
30.0,-100.0,15969,17592,Texas,NOT APPLICABLE,DALLAS (113)
30.0,-95.0,11728,12861,Louisiana,NOT APPLICABLE,EAST BATON ROUGE (33)
30.0,-90.0,14654,16029,Alabama,NOT APPLICABLE,JEFFERSON (73)
30.0,-85.0,21817,23534,Georgia,NOT APPLICABLE,DUVAL (31)
30.0,-80.0,3753,4102,North Carolina,NOT APPLICABLE,HORRY (51)
35.0,-125.0,11349,12327,California,NOT APPLICABLE,SACRAMENTO (67)
35.0,-120.0,6132,6776,California,NOT APPLICABLE,CLARK (3)
35.0,-115.0,1502,1742,Arizona,NOT APPLICABLE,MOHAVE (15)
35.0,-110.0,3979,4325,New Mexico,NOT APPLICABLE,BERNALILLO (1)
35.0,-105.0,3543,3950,Colorado,NOT APPLICABLE,EL PASO (41)
35.0,-100.0,6314,6945,Oklahoma,NOT APPLICABLE,OKLAHOMA (109)
35.0,-95.0,11915,12966,Missouri,NOT APPLICABLE,JACKSON (95)
35.0,-90.0,15664,17019,Tennessee,NOT APPLICABLE,SHELBY (157)
35.0,-85.0,17641,19029,North Carolina,NOT APPLICABLE,MECKLENBURG (119)
35.0,-80.0,20813,22341,Virginia,NOT APPLICABLE,PRINCE GEORGE`S (33)
35.0,-75.0,1023,1095,New Jersey,NOT APPLICABLE,ATLANTIC (1)
40.0,-125.0,3136,3436,Oregon,NOT APPLICABLE,LANE (39)
40.0,-120.0,995,1108,Idaho,NOT APPLICABLE,ADA (1)
40.0,-115.0,2597,2849,Utah,NOT APPLICABLE,SALT LAKE (35)
40.0,-110.0,1269,1415,Wyoming,NOT APPLICABLE,LARIMER (69)
40.0,-105.0,1568,1769,Colorado,NOT APPLICABLE,WELD (123)
40.0,-100.0,2759,3078,Nebraska,NOT APPLICABLE,DOUGLAS (55)
40.0,-95.0,4884,5385,Iowa,NOT APPLICABLE,POLK (153)
