weathername,lgt_condname,hour,day_weekname,Total_Accidents,Total_Fatalities,Fatality_Rate
Clear,Daylight,15,Friday,1839,2013,1.0946166394779773
Clear,Daylight,15,Saturday,1783,1975,1.1076836791923723
Clear,Daylight,16,Friday,1773,1954,1.102086858432036
Clear,Daylight,16,Saturday,1744,1926,1.1043577981651376
Clear,Daylight,15,Thursday,1639,1786,1.0896888346552775
Clear,Daylight,16,Sunday,1631,1804,1.1060698957694666
Clear,Daylight,14,Saturday,1626,1765,1.0854858548585486
Clear,Daylight,15,Sunday,1625,1769,1.0886153846153843
Clear,Daylight,15,Wednesday,1589,1748,1.1000629326620517
Clear,Daylight,16,Tuesday,1579,1730,1.0956301456618114
Clear,Daylight,14,Friday,1576,1713,1.0869289340101522
Clear,Daylight,16,Thursday,1559,1694,1.0865939704939065
Clear,Daylight,15,Tuesday,1556,1691,1.0867609254498716
Clear,Daylight,15,Monday,1543,1679,1.088139987038237
Clear,Daylight,17,Saturday,1524,1688,1.1076115485564304
Clear,Daylight,16,Monday,1510,1641,1.0867549668874172
Clear,Daylight,14,Wednesday,1504,1620,1.077127659574468
Clear,Daylight,14,Tuesday,1498,1665,1.1114819759679573
Clear,Daylight,16,Wednesday,1482,1594,1.0755735492577598
Clear,Daylight,13,Saturday,1468,1631,1.1110354223433243
