weathername,lgt_condname,hour,day_weekname,Total_Accidents,Total_Fatalities,Fatality_Rate
"Fog, Smog, Smoke",Dark - Not Lighted,21,Thursday,14,22,1.5714285714285714
"Fog, Smog, Smoke",Daylight,8,Monday,21,31,1.4761904761904763
Snow,Dark - Not Lighted,18,Sunday,13,19,1.4615384615384615
"Fog, Smog, Smoke",Dark - Not Lighted,22,Saturday,14,20,1.4285714285714286
Rain,Dusk,20,Friday,12,17,1.4166666666666667
Snow,Daylight,17,Tuesday,13,18,1.3846153846153846
Snow,Daylight,10,Monday,19,26,1.368421052631579
Clear,Dark - Unknown Lighting,3,Monday,11,15,1.3636363636363635
Not Reported,Dark - Lighted,6,Thursday,14,19,1.3571428571428572
"Fog, Smog, Smoke",Dawn,6,Wednesday,23,31,1.3478260869565217
Snow,Dark - Not Lighted,3,Sunday,15,20,1.3333333333333333
Not Reported,Dark - Lighted,2,Wednesday,12,16,1.3333333333333333
Not Reported,Dark - Lighted,1,Wednesday,12,16,1.3333333333333333
Rain,Dusk,18,Saturday,16,21,1.3125
Rain,Daylight,19,Tuesday,23,30,1.3043478260869565
"Fog, Smog, Smoke",Dawn,6,Friday,20,26,1.3
"Fog, Smog, Smoke",Dark - Not Lighted,23,Monday,17,22,1.2941176470588236
Rain,Daylight,11,Saturday,103,133,1.2912621359223302
Rain,Dusk,17,Thursday,14,18,1.2857142857142858
Rain,Dark - Not Lighted,2,Tuesday,32,41,1.28125
