lat_grid,lon_grid,Total_Accidents,Total_Fatalities,Sample_State,Sample_City,Sample_County,Fatality_Rate
25.0,-85.0,22808,24520,Florida,NOT APPLICABLE,MIAMI-DADE (86),1.0750613819712382
30.0,-85.0,21817,23534,Georgia,NOT APPLICABLE,DUVAL (31),1.0787000962552138
35.0,-80.0,20813,22341,Virginia,NOT APPLICABLE,PRINCE GEORGE`S (33),1.0734156536779897
35.0,-85.0,17641,19029,North Carolina,NOT APPLICABLE,MECKLENBURG (119),1.0786803469191089
40.0,-75.0,17580,18682,New York,NEW YORK CITY,SUFFOLK (103),1.0626848691695108
30.0,-120.0,16690,17890,California,NOT APPLICABLE,LOS ANGELES (37),1.0718993409227082
30.0,-100.0,15969,17592,Texas,NOT APPLICABLE,DALLAS (113),1.101634416682322
40.0,-90.0,15871,17271,Illinois,NOT APPLICABLE,COOK (31),1.0882112028227584
35.0,-90.0,15664,17019,Tennessee,NOT APPLICABLE,SHELBY (157),1.0865040858018387
30.0,-90.0,14654,16029,Alabama,NOT APPLICABLE,JEFFERSON (73),1.0938310358946364
40.0,-85.0,12810,13798,Ohio,NOT APPLICABLE,WAYNE (163),1.077127244340359
35.0,-95.0,11915,12966,Missouri,NOT APPLICABLE,JACKSON (95),1.0882081409987412
30.0,-95.0,11728,12861,Louisiana,NOT APPLICABLE,EAST BATON ROUGE (33),1.096606412005457
35.0,-125.0,11349,12327,California,NOT APPLICABLE,SACRAMENTO (67),1.0861749933914882
25.0,-100.0,9897,10870,Texas,NOT APPLICABLE,HARRIS (201),1.0983126199858544
40.0,-80.0,9872,10605,Pennsylvania,NOT APPLICABLE,PHILADELPHIA (101),1.0742504051863857
30.0,-115.0,7446,8100,Arizona,PHOENIX,MARICOPA (13),1.087832393231265
35.0,-100.0,6314,6945,Oklahoma,NOT APPLICABLE,OKLAHOMA (109),1.0999366487171365
35.0,-120.0,6132,6776,California,NOT APPLICABLE,CLARK (3),1.1050228310502284
45.0,-125.0,5660,6140,Washington,NOT APPLICABLE,KING (33),1.0848056537102473
