hour,Total_Accidents,Total_Fatalities,Fatality_Rate
18,19095,20583,1.0779261586802829
20,19016,20457,1.0757782919646612
21,18789,20280,1.0793549417212198
19,18386,19785,1.076090503644077
17,17760,19204,1.0813063063063062
22,16451,17794,1.0816363746884687
16,16296,17849,1.0952994599901817
15,16116,17638,1.094440307768677
14,14761,16131,1.0928121400989093
23,14556,15822,1.0869744435284419
13,13277,14497,1.0918882277622957
0,12917,14165,1.0966168615003484
12,12404,13580,1.0948081264108351
2,12091,13358,1.104788685799355
6,11928,12770,1.0705902079141516
1,11847,13048,1.1013758757491348
11,11000,11978,1.0889090909090908
7,10607,11494,1.0836240218723485
5,10357,11058,1.0676836921888577
10,9787,10658,1.0889956064166753
