weathername,Total_Accidents,Total_Fatalities,Fatality_Rate
Clear,231084,250859,1.0855749424451715
Cloudy,45065,49003,1.087384888494397
Rain,23118,25243,1.0919197162384289
Not Reported,15406,16516,1.0720498507075165
"Fog, Smog, Smoke",3569,3921,1.0986270664051556
Snow,2895,3150,1.0880829015544042
Reported as Unknown,1069,1144,1.0701590271281571
Sleet or Hail,474,521,1.09915611814346
Severe Crosswinds,474,522,1.1012658227848102
Unknown,469,505,1.0767590618336886
Other,361,387,1.07202216066482
Blowing Snow,253,278,1.098814229249012
Freezing Rain or Drizzle,243,262,1.0781893004115226
"Blowing Sand, Soil, Dirt",100,134,1.34
