BoroCD_code,CORRIDOR,CrossStree,ENFORCEMENT_START,FROM_STREET,FromStreet,Install_Date,MainStreet,Name,OBJECTID,OnStreet,Shape_Area,Shape_Length,Street1,Street2,TO_STREET,ToStreet,YR,Year,completion,date_insta,end_date,from_stree,geometry_x,geometry_y,humps,on_street,pjct_name,sip_year,source_layer_id,sq_mi,to_street,treatment_
,,West 38 Street,,,,1254182400000,9 Avenue,,3493,,,,,,,,,,,,,,985783.4011207223,214671.98868472874,,,,,0,,,
,,West 41 Street,,,,1254182400000,9 Avenue,,3494,,,,,,,,,,,,,,986170.4013309777,215370.9882709831,,,,,0,,,
,,West 47 Street,,,,1260748800000,9 Avenue,,3496,,,,,,,,,,,,,,986933.4007892162,216747.98781356215,,,,,0,,,
,,Bayard Street,,,,1245801600000,Bowery,,3518,,,,,,,,,,,,,,985135.4007762969,199780.9915638864,,,,,0,,,
,,West 145 Street,,,,1233792000000,Broadway,,3550,,,,,,,,,,,,,,997963.3997265548,240367.98289631307,,,,,0,,,
,,40 Road,,,,1253059200000,Main Street,,3759,,,,,,,,,,,,,,1031390.3922556341,215829.9870248884,,,,,0,,,
,,41 Road,,,,1250812800000,Main Street,,3760,,,,,,,,,,,,,,1031587.3925178051,215305.9867605567,,,,,0,,,
,,East 162 Street,,,,1238112000000,River Avenue,,3994,,,,,,,,,,,,,,1005013.3984218091,241500.9825988114,,,,,0,,,
,,Livingston Street,,,,1246233600000,Boerum Place,,4111,,,,,,,,,,,,,,987215.4002252221,191020.99300780892,,,,,0,,,
,,Bleecker Street,,,,1253577600000,7 Avenue,,5884,,,,,,,,,,,,,,983259.0000015497,206060.00000323355,,,,,0,,,
,,Main Street,,,,1244592000000,Roosevellt Avenue,,5946,,,,,,,,,,,,,,1031307.0000339746,216054.0000283122,,,,,0,,,
,,E 42 Street,,,,1290211200000,2 Avenue,,2426,,,,,,,,,,,,,,991952.3999375552,212455.98852355778,,,,,1,,,
,,East 57 Street,,,,1290297600000,2 Avenue,,3409,,,,,,,,,,,,,,993865.3997204751,215911.98784513772,,,,,1,,,
,,West 40 Street,,,,1289692800000,6 Avenue,,3447,,,,,,,,,,,,,,988394.4004918933,213813.98843222857,,,,,1,,,
,,West 72 Street,,,,1289088000000,Broadway_Amsterdam Ave,,3509,,,,,,,,,,,,,,989340.400568381,222941.98658038676,,,,,1,,,
,,West 73 Street,,,,1290038400000,Amsterdam Avenue,,3510,,,,,,,,,,,,,,989475.4006264657,223190.98641048372,,,,,1,,,
,,West 97 Street,,,,1268956800000,Amsterdam Avenue,,3513,,,,,,,,,,,,,,992592.4002979696,228818.98532505333,,,,,1,,,
,,West 61 Street,,,,1277856000000,Broadway,,3522,,,,,,,,,,,,,,989203.4005143046,219711.98713488877,,,,,1,,,
,,Dyckman St,,,,1291593600000,Broadway,,3577,,,,,,,,,,,,,,1004367.3987295479,254620.97998081148,,,,,1,,,
,,East 14 Street,,,,1291075200000,Broadway,,3579,,,,,,,,,,,,,,986812.4010312259,206994.98993113637,,,,,1,,,
,,West 81 Street,,,,1291334400000,Central Park West,,3584,,,,,,,,,,,,,,992081.4003357142,224186.9863869697,,,,,1,,,
,,West 125 Street,,,,1272672000000,Lenox Avenue,,3618,,,,,,,,,,,,,,999342.3989370614,233571.984349221,,,,,1,,,
,,East 16 Street,,,,1284595200000,Union Square west,,3678,,,,,,,,,,,,,,986813.4010292143,207611.9896813929,,,,,1,,,
,,99 Street,,,,1289001600000,Horace Harding Expy,,3735,,,,,,,,,,,,,,1023363.3935458809,207427.98873706162,,,,,1,,,
,,Sanford Avenue,,,,1289001600000,Kissena Boulevard,,3755,,,,,,,,,,,,,,1032153.3920419663,215168.98703455925,,,,,1,,,
,,Hempstead Avenue,,,,1289001600000,Springfield Boulevard,,3864,,,,,,,,,,,,,,1057495.3869615495,199252.98933905363,,,,,1,,,
,,Springfield Blvd,,,,1278633600000,Union  Turnpike,,3873,,,,,,,,,,,,,,1054492.3873901367,207438.987730816,,,,,1,,,
,,Carpenter Avenue,,,,1279584000000,East 233 Street,,3919,,,,,,,,,,,,,,1022884.395488143,265128.9773374796,,,,,1,,,
,,East 147 Street,,,,1282780800000,Willis Avenue,,4047,,,,,,,,,,,,,,1006742.3975884765,236125.983506307,,,,,1,,,
,,86 Street,,,,1269302400000,4 Avenue,,4053,,,,,,,,,,,,,,976380.4015540481,166176.99840456247,,,,,1,,,
,,Midland Avenue,,,,1281052800000,Hylan Boulevard,,4261,,,,,,,,,,,,,,955828.4052565545,149851.00185714662,,,,,1,,,
,,Targee St,,,,1274659200000,Vanderbilt Avenue,,4279,,,,,,,,,,,,,,960749.4046008885,163420.99932339787,,,,,1,,,
,,West 236 Street,,,,1280102400000,Riverdale Avenue,,6403,,,,,,,,,,,,,,1009956.0000851303,262036.9999256432,,,,,1,,,
,,Morris Avenue,,,,1294963200000,E 149 Street,,46,,,,,,,,,,,,,,1005630.0002069771,237082.99996498227,,,,,2,,,
,,East 34 Street,,,,1319760000000,2 Avenue,,3405,,,,,,,,,,,,,,990933.4000070542,210617.98924681544,,,,,2,,,
,,East 65 Street,,,,1319587200000,2 Avenue,,3412,,,,,,,,,,,,,,994885.3996489644,217754.98743997514,,,,,2,,,
,,East 39 Street,,,,1323648000000,5 Avenue,,3425,,,,,,,,,,,,,,989161.4005983025,213093.9885598868,,,,,2,,,
,,West 65 Street,,,,1313798400000,Amsterdam Avenue,,3507,,,,,,,,,,,,,,988438.4010600597,221319.98687164485,,,,,2,,,
,,West 66 Street,,,,1313798400000,Amsterdam Avenue,,3508,,,,,,,,,,,,,,988567.400802061,221557.98672372103,,,,,2,,,
,,Market Street,,,,1294704000000,Division Street,,3600,,,,,,,,,,,,,,985680.4009986371,199478.99151173234,,,,,2,,,
,,East 59 Street,,,,1299283200000,Madison Avenue,,3625,,,,,,,,,,,,,,992169.9050799757,217470.52541047335,,,,,2,,,
,,East 57 Street,,,,1308528000000,Sutton Place,,3676,,,,,,,,,,,,,,995146.3991269767,215203.9879488051,,,,,2,,,
,,Parkside Avenue,,,,1311033600000,Flatbush Avenue,,4157,,,,,,,,,,,,,,995387.39831689,178140.9954738915,,,,,2,,,
,,Brooklyn Avenue,,,,1299801600000,Fulton Street,,4164,,,,,,,,,,,,,,999790.3977129757,187052.99339789152,,,,,2,,,
,,Tompkins Avenue,,,,1299801600000,Fulton Street,,4166,,,,,,,,,,,,,,999987.397647053,187038.9934258908,,,,,2,,,
,,Smith Street,,,,1308873600000,Livingston Street,,4172,,,,,,,,,,,,,,987608.4004234672,190829.99306172132,,,,,2,,,
,,Clymer Street,,,,1293840000000,Wythe Avenue,,4233,,,,,,,,,,,,,,993587.3992922157,196063.99178005755,,,,,2,,,
,,East 62 Street,,,,1348444800000,1 Avenue,,3378,,,,,,,,,,,,,,995165.3994170576,216705.98789756,,,,,3,,,
,,East 30 Street,,,,1343001600000,2 Avenue,,3404,,,,,,,,,,,,,,990437.4003428817,209698.98911631107,,,,,3,,,
,,East 49 Street,,,,1343347200000,2 Avenue,,3407,,,,,,,,,,,,,,992845.3997919708,214068.9882503152,,,,,3,,,
,,East 53 Street,,,,1331769600000,2 Avenue,,3408,,,,,,,,,,,,,,993350.3997662216,214984.98805873096,,,,,3,,,
,,East 14 Street,,,,1348531200000,3 Avenue,,3414,,,,,,,,,,,,,,987803.4006896317,206431.98974481225,,,,,3,,,
