Ages_10_to,Ages_10to1,Ages_15_to,Ages_15to1,Ages_18_an,Ages_18and,Ages_20_to,Ages_20to2,Ages_25_to,Ages_25to4,Ages_45_to,Ages_45to6,Ages_5_to_,Ages_5to9,Ages_65_an,Ages_65and,Ages_Under,BoroCD,Borough_name,CounDist,OBJECTID,Precinct,SUM_ASZ,SUM_BikeFatal,SUM_BikeInj,SUM_Enhanced_Crossings,SUM_Fatalities,SUM_Injuries,SUM_LPI,SUM_Left_Turn_Traffic_Calming,SUM_MVFatal,SUM_MVInj,SUM_NeighSlowZones,SUM_PedFatal,SUM_PedInj,SUM_SIPCorridors,SUM_SIPIntersections,SUM_SignalTiming,SUM_SpeedHumps,SUM_Turn_Traffic_Calming,SUM_VZ_Bike,SUM_VZ_Priority_Corridors,SUM_VZ_Priority_Intersections,SUM_VZ_Priority_Zones,Shape_Area,Shape_Area_1,Shape_Leng,Shape_Length,Shape_Length_1,TotalPop,Total_Pop,geometry_x,geometry_y,source_layer_id
1487,,2044,,57815,,6762,,32579,,12670,,2317,,4541,,4279,,,,1,1,2.206921169053081,0,11,2,0,69,54,9,0,40,0.09396790748150355,0,17,13.924663043613407,12,1.1235208881332985,4,15,0,2.26621022556549,4,10.327099410303479,47184418.17708396,,79980.2504599,79979.87720607531,,,66679,,,0
1891,,2290,,45735,,5091,,16970,,13730,,1876,,8824,,1915,,,,2,5,2.2342681742215533,0,12,0,0,56,24,7,0,18,0,0,25,12.24878970374197,2,7.8362138410715865,11,15,0,1.0447725339903735,3,18.593207741334382,18086505.856312744,,18676.8876782,18676.887437751877,,,52587,,,0
971,,3721,,57225,,4926,,26362,,14724,,1417,,8099,,2006,,,,3,6,1.2303941445950186,0,15,9,0,48,44,0,0,18,4.763579545738487,0,15,9.769317791978185,8,12.55624574949617,17,7,0,3.106228319419303,5,14.682824171707862,22131900.859088954,,27182.6876167,27182.397820912534,,,62226,,,0
2634,,3010,,46746,,4451,,17417,,14024,,2614,,9584,,2602,,,,4,7,0.8756237898224798,0,7,3,0,35,21,4,0,18,0.024576329675490317,0,9,8.536926080255231,2,0,9,7,0,0.9624635210400656,4,7.532400860134587,18363027.476353966,,17301.4925491,17301.48492747527,,,56336,,,0
2099,,5068,,68693,,10398,,30094,,16635,,1991,,7895,,2263,,,,5,9,1.5820551687171032,0,3,0,0,20,45,5,0,10,11.33899770569146,0,7,11.213700524140569,1,1.963696297481512,39,15,0,3.852534549670765,3,15.318211857080641,21395529.72067374,,19773.4220854,19773.416892874156,,,76443,,,0
1051,,2063,,45687,,4065,,20661,,13324,,1137,,6276,,1603,,,,6,10,0.7337883678442166,0,12,1,0,65,74,10,0,25,0,0,25,13.277304965472647,7,12.667586694030444,23,13,0,6.3666552249958075,3,12.497723414089496,27228633.71077541,,40043.1752514,40043.17497213533,,,50180,,,0
1591,,3537,,85889,,12007,,38678,,21213,,1973,,11464,,3177,,,,7,13,0.7334717146401568,0,11,3,0,62,95,17,0,27,1.0821758110600394e-06,0,20,15.904299656882843,6,9.324441754925527,14,35,0,7.701353796306762,7,26.984447331522414,29508024.66174728,,27735.2664677,27735.26462566321,,,93640,,,0
228,,683,,19495,,3257,,9806,,4226,,295,,1661,,495,,,,8,14,1.59560114272047,0,21,0,0,88,71,11,0,33,0,0,31,17.236724510283324,13,16.137460025036972,0,12,0,6.533895233420822,7,22.417145178420736,20510164.23748016,,20974.7092434,20974.709393688936,,,20651,,,0
1093,,1289,,73170,,7390,,32818,,19034,,1525,,13222,,2755,,,,9,17,0,0,16,0,0,78,88,19,0,40,0,0,20,17.079764083499207,2,0,6,36,0,7.418965456080108,5,20.411171352930744,22272798.13731025,,25759.8945526,25759.830637720122,,,79126,,,0
878,,1085,,49977,,4750,,24367,,12999,,979,,7341,,1667,,,,10,18,2.9027775840840793,1,23,0,3,103,115,8,0,33,0,2,46,24.35160087391518,16,2.043296234129433,5,13,0,6.657433007571331,8,25.82748285201445,32280333.11149117,,42179.9057771,42179.88406981407,,,54066,,,0
6633,,5210,,179408,,12048,,77752,,51572,,7978,,36372,,10694,,,,11,19,3.729992278301512,0,20,0,1,93,260,27,0,39,0,1,30,14.249949708041528,6,95.81156970136183,23,51,0,9.124668714015943,6,20.95688544864126,48737395.87890677,,29563.1452164,29563.041696449185,,,208259,,,0
2869,,3157,,88247,,5051,,38375,,26870,,3752,,16484,,6066,,,,12,20,4.091491590628751,0,13,3,0,32,93,6,0,8,0,0,11,6.737315507068336,16,8.519971232193974,23,10,0,1.3621048787610286,0,0.41846089846502843,27670921.28155329,,27040.9944208,27040.99341082125,,,102624,,,0
