Crash ID,CrashDate,CountyName,Fatals,Peds,Persons,State,StateName,TotalVehicles,Crash Date,Latitude,Longitude,Weather,Weather Name,Road Function,Road Function Name,Light Condition,Light Condition Name,Manner of Collision,Manner of Collision Name,Speed Limit,Speed Limit Name,Harmful Event,Harmful Event Name,Drunk Drivers,City,City Name,Functional System,Functional System Name,Work Zone,Work Zone Name
10015,/Date(1641590880000-0500)/,MONROE (99),1,0,2,1,Alabama,1,2022-01-07 16:28,31.48611389,-87.285933330,1,Clear,,,1,Daylight,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No Special Jurisdiction,42,Tree (Standing Only),,0,NOT APPLICABLE,5,Major Collector,0,None
10020,/Date(1641773700000-0500)/,ELMORE (51),1,0,1,1,Alabama,1,2022-01-09 19:15,32.57847778,-86.121947220,1,Clear,,,2,Dark - Not Lighted,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No Special Jurisdiction,34,Ditch,,0,NOT APPLICABLE,7,Local,0,None
10017,/Date(1641696900000-0500)/,LOWNDES (85),1,0,1,1,Alabama,1,2022-01-08 21:55,32.13576389,-86.442897220,1,Clear,,,2,Dark - Not Lighted,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No Special Jurisdiction,35,Embankment,,0,NOT APPLICABLE,1,Interstate,0,None
10012,/Date(1641432300000-0500)/,TUSCALOOSA (125),2,0,2,1,Alabama,2,2022-01-05 20:25,33.23704167,-87.605330560,10,Cloudy,,,3,Dark - Lighted,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No Special Jurisdiction,11,Live Animal,,2260,NORTHPORT,3,Principal Arterial - Other,0,None
10021,/Date(1641840600000-0500)/,MOBILE (97),1,0,1,1,Alabama,1,2022-01-10 13:50,31.09250833,-88.399522220,1,Clear,,,1,Daylight,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No Special Jurisdiction,42,Tree (Standing Only),,0,NOT APPLICABLE,5,Major Collector,0,None
10014,/Date(1641553200000-0500)/,MOBILE (97),1,0,3,1,Alabama,2,2022-01-07 06:00,30.94694722,-88.220016670,1,Clear,,,4,Dawn,2,Front-to-Front,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,,0,NOT APPLICABLE,3,Principal Arterial - Other,0,None
10013,/Date(1641509400000-0500)/,ST. CLAIR (115),1,0,4,1,Alabama,2,2022-01-06 17:50,33.59309722,-86.263825000,10,Cloudy,,,2,Dark - Not Lighted,2,Front-to-Front,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,,2410,PELL CITY,4,Minor Arterial,0,None
10016,/Date(1641690900000-0500)/,WASHINGTON (129),1,0,1,1,Alabama,1,2022-01-08 20:15,31.45677500,-87.959591670,1,Clear,,,2,Dark - Not Lighted,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No Special Jurisdiction,42,Tree (Standing Only),,0,NOT APPLICABLE,7,Local,0,None
10018,/Date(1641750780000-0500)/,LIMESTONE (83),1,0,1,1,Alabama,1,2022-01-09 12:53,34.63883056,-86.849597220,2,Rain,,,1,Daylight,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No Special Jurisdiction,30,Utility Pole/Light Support,,9997,Other,1,Interstate,0,None
10019,/Date(1641706200000-0500)/,MOBILE (97),1,1,2,1,Alabama,1,2022-01-09 00:30,30.46496944,-88.116866670,10,Cloudy,,,2,Dark - Not Lighted,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No Special Jurisdiction,8,Pedestrian,,0,NOT APPLICABLE,6,Minor Collector,0,None
10023,/Date(1642120200000-0500)/,DALE (45),1,0,2,1,Alabama,2,2022-01-13 19:30,31.30541111,-85.736783330,1,Clear,,,5,Dusk,6,Angle,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,,845,DALEVILLE,3,Principal Arterial - Other,0,None
10024,/Date(1642296540000-0500)/,JEFFERSON (73),1,0,4,1,Alabama,3,2022-01-15 20:29,33.64117778,-86.725130560,2,Rain,,,2,Dark - Not Lighted,1,Front-to-Rear,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,,0,NOT APPLICABLE,3,Principal Arterial - Other,0,None
10025,/Date(1642306140000-0500)/,JEFFERSON (73),1,1,1,1,Alabama,1,2022-01-15 23:09,33.59028333,-86.740366670,2,Rain,,,3,Dark - Lighted,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No Special Jurisdiction,8,Pedestrian,,350,BIRMINGHAM,4,Minor Arterial,0,None
10022,/Date(1641931200000-0500)/,SHELBY (117),1,0,1,1,Alabama,1,2022-01-11 15:00,33.11705833,-86.861263890,10,Cloudy,,,1,Daylight,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No Special Jurisdiction,1,Rollover/Overturn,,2120,MONTEVALLO,5,Major Collector,0,None
10026,/Date(1642392000000-0500)/,JEFFERSON (73),1,1,2,1,Alabama,2,2022-01-16 23:00,33.66512500,-87.049263890,10,Cloudy,,,2,Dark - Not Lighted,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No Special Jurisdiction,8,Pedestrian,,0,NOT APPLICABLE,1,Interstate,0,None
10027,/Date(1646596680000-0500)/,JACKSON (71),1,0,1,1,Alabama,1,2022-03-06 14:58,34.86851389,-85.838483330,1,Clear,,,1,Daylight,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No Special Jurisdiction,10,Railway Vehicle,,2850,STEVENSON,5,Major Collector,0,None
10030,/Date(1642418400000-0500)/,DEKALB (49),1,0,1,1,Alabama,1,2022-01-17 06:20,34.70282500,-85.671994440,11,Blowing Snow,,,4,Dawn,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No Special Jurisdiction,34,Ditch,,1745,IDER,4,Minor Arterial,0,None
10028,/Date(1642481100000-0500)/,MONTGOMERY (101),1,1,1,1,Alabama,1,2022-01-17 23:45,32.38228056,-86.184902780,1,Clear,,,3,Dark - Lighted,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No Special Jurisdiction,8,Pedestrian,,2130,MONTGOMERY,3,Principal Arterial - Other,0,None
10031,/Date(1642456800000-0500)/,CULLMAN (43),1,0,1,1,Alabama,1,2022-01-17 17:00,34.01850833,-86.963044440,1,Clear,,,5,Dusk,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No Special Jurisdiction,32,Culvert,,0,NOT APPLICABLE,6,Minor Collector,0,None
10029,/Date(1642424940000-0500)/,MADISON (89),1,0,2,1,Alabama,2,2022-01-17 08:09,34.66798056,-86.752094440,10,Cloudy,,,1,Daylight,6,Angle,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,,1730,HUNTSVILLE,4,Minor Arterial,0,None
10033,/Date(1642893480000-0500)/,CALHOUN (15),1,0,1,1,Alabama,1,2022-01-22 18:18,33.83731111,-85.671269440,1,Clear,,,2,Dark - Not Lighted,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No Special Jurisdiction,1,Rollover/Overturn,,0,NOT APPLICABLE,4,Minor Arterial,0,None
10034,/Date(1642851360000-0500)/,JEFFERSON (73),1,0,1,1,Alabama,1,2022-01-22 06:36,33.58305833,-86.718238890,1,Clear,,,1,Daylight,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No Special Jurisdiction,42,Tree (Standing Only),,350,BIRMINGHAM,4,Minor Arterial,0,None
10036,/Date(1642811160000-0500)/,MOBILE (97),1,0,1,1,Alabama,1,2022-01-21 19:26,30.66251389,-88.093497220,1,Clear,,,3,Dark - Lighted,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No Special Jurisdiction,59,Traffic Sign Support ,,2100,MOBILE,4,Minor Arterial,0,None
10032,/Date(1642967340000-0500)/,BALDWIN (3),1,0,1,1,Alabama,1,2022-01-23 14:49,30.61838611,-87.725238890,1,Clear,,,1,Daylight,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No Special Jurisdiction,42,Tree (Standing Only),,1943,LOXLEY,5,Major Collector,0,None
10035,/Date(1642768200000-0500)/,MORGAN (103),1,0,1,1,Alabama,1,2022-01-21 07:30,34.41721944,-87.020855560,10,Cloudy,,,1,Daylight,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No Special Jurisdiction,1,Rollover/Overturn,,0,NOT APPLICABLE,7,Local,0,None
10040,/Date(1642496400000-0500)/,BUTLER (13),1,0,1,1,Alabama,1,2022-01-18 04:00,31.57203333,-86.851888890,1,Clear,,,2,Dark - Not Lighted,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No Special Jurisdiction,18,Other Object (not fixed),,0,NOT APPLICABLE,1,Interstate,0,None
10038,/Date(1642507860000-0500)/,ST. CLAIR (115),1,0,1,1,Alabama,1,2022-01-18 07:11,33.56593056,-86.521772220,1,Clear,,,1,Daylight,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No Special Jurisdiction,21,Bridge Pier or Support,,0,NOT APPLICABLE,1,Interstate,0,None
10041,/Date(1642595940000-0500)/,JEFFERSON (73),1,1,1,1,Alabama,1,2022-01-19 07:39,33.45934722,-86.839680560,1,Clear,,,1,Daylight,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No Special Jurisdiction,8,Pedestrian,,1710,HOMEWOOD,4,Minor Arterial,0,None
10042,/Date(1642630500000-0500)/,ESCAMBIA (53),1,0,5,1,Alabama,2,2022-01-19 17:15,31.02589722,-87.325416670,1,Clear,,,2,Dark - Not Lighted,2,Front-to-Front,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,,0,NOT APPLICABLE,4,Minor Arterial,0,None
10039,/Date(1642509540000-0500)/,MORGAN (103),1,0,5,1,Alabama,3,2022-01-18 07:39,34.44036389,-86.965133330,1,Clear,,,1,Daylight,6,Angle,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,,1590,HARTSELLE,3,Principal Arterial - Other,0,None
10037,/Date(1642519800000-0500)/,CALHOUN (15),1,0,1,1,Alabama,1,2022-01-18 10:30,33.78313889,-86.010716670,1,Clear,,,1,Daylight,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No Special Jurisdiction,30,Utility Pole/Light Support,,2325,OHATCHEE,7,Local,0,None
10043,/Date(1642970160000-0500)/,DALLAS (47),1,0,5,1,Alabama,1,2022-01-23 15:36,32.44075833,-87.215372220,1,Clear,,,1,Daylight,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No Special Jurisdiction,10,Railway Vehicle,,0,NOT APPLICABLE,5,Major Collector,0,None
10046,/Date(1643142000000-0500)/,COVINGTON (39),2,0,2,1,Alabama,1,2022-01-25 15:20,31.47968611,-86.347869440,10,Cloudy,,,1,Daylight,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No Special Jurisdiction,1,Rollover/Overturn,,0,NOT APPLICABLE,5,Major Collector,0,None
10045,/Date(1643073480000-0500)/,MORGAN (103),1,0,1,1,Alabama,1,2022-01-24 20:18,34.50578611,-86.984386110,1,Clear,,,2,Dark - Not Lighted,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No Special Jurisdiction,42,Tree (Standing Only),,890,DECATUR,5,Major Collector,0,None
10044,/Date(1643070240000-0500)/,MOBILE (97),1,1,1,1,Alabama,1,2022-01-24 19:24,30.55628056,-88.185830560,2,Rain,,,2,Dark - Not Lighted,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No Special Jurisdiction,8,Pedestrian,,0,NOT APPLICABLE,3,Principal Arterial - Other,0,None
10047,/Date(1643219400000-0500)/,COFFEE (31),1,0,3,1,Alabama,3,2022-01-26 12:50,31.32804722,-85.886950000,1,Clear,,,1,Daylight,8,Sideswipe - Opposite Direction,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,,1030,ENTERPRISE,3,Principal Arterial - Other,0,None
